D,string,ar,latcent,kurtosis,area,form
D,1963-01-01 18:00:00,1.3914,85.598,0.15132,30826000.0,D
D,1963-01-02 18:00:00,1.3999,86.313,0.14872,31032000.0,D
D,1963-01-03 18:00:00,1.3292,85.479,0.15526,30179000.0,D
D,1963-01-04 18:00:00,1.2402,84.191,0.14776,30249000.0,D
D,1963-01-05 18:00:00,1.1061,83.286,0.15299,31219000.0,D
D,1963-01-06 18:00:00,1.065,82.896,0.1508,31167000.0,D
D,1963-01-07 18:00:00,1.1499,83.276,0.14708,31138000.0,D
D,1963-01-08 18:00:00,1.1675,84.575,0.14608,31040000.0,D
D,1963-01-09 18:00:00,1.1181,85.93,0.15411,30799000.0,D
D,1963-01-10 18:00:00,1.2294,86.627,0.16217,29903000.0,D
D,1963-01-11 18:00:00,1.26,86.468,0.16767,30872000.0,D
D,1963-01-12 18:00:00,1.3223,85.562,0.15863,31465000.0,D
D,1963-01-13 18:00:00,1.4297,84.497,0.13916,32215000.0,D
D,1963-01-14 18:00:00,1.6297,83.645,0.11842,31561000.0,D
D,1963-01-15 18:00:00,1.7777,83.121,0.10889,31095000.0,D
D,1963-01-16 18:00:00,1.8963,81.901,0.13469,31586000.0,D
D,1963-01-17 18:00:00,1.9202,79.854,0.2158,31643000.0,D
D,1963-01-18 18:00:00,2.0598,78.762,0.18405,29106000.0,D
D,1963-01-19 18:00:00,2.054,81.103,0.16351,26046000.0,D
D,1963-01-20 18:00:00,2.1477,82.681,0.20654,25255000.0,D
D,1963-01-21 18:00:00,2.4889,83.685,0.24311,24893000.0,D
D,1963-01-22 18:00:00,3.05,86.194,0.064368,25533000.0,S
D,1963-01-23 18:00:00,3.3467,85.684,0.0724,26654000.0,S
D,1963-01-24 18:00:00,3.2747,79.262,0.83364,26927000.0,S
D,1963-01-25 18:00:00,2.8524,74.697,1.7679,18613000.0,S
D,1963-01-26 18:00:00,2.5601,75.608,1.7163,14120000.0,S
D,1963-01-27 18:00:00,2.934,78.452,4.9743,15690000.0,S
D,1963-01-28 18:00:00,2.1276,83.693,3.8385,17136000.0,D
D,1963-01-29 18:00:00,1.4271,78.027,0.40672,52308000.0,D
D,1963-01-30 18:00:00,1.1212,77.657,0.24435,80890000.0,D
