D,string,u
D,1963-01-01 18:00:00,59.7
D,1963-01-02 18:00:00,59.6
D,1963-01-03 18:00:00,58.8
D,1963-01-04 18:00:00,58.5
D,1963-01-05 18:00:00,58.3
D,1963-01-06 18:00:00,59.3
D,1963-01-07 18:00:00,60.9
D,1963-01-08 18:00:00,62.6
D,1963-01-09 18:00:00,63.5
D,1963-01-10 18:00:00,63.4
D,1963-01-11 18:00:00,63.1
D,1963-01-12 18:00:00,60.6
D,1963-01-13 18:00:00,56.9
D,1963-01-14 18:00:00,52.3
D,1963-01-15 18:00:00,49.4
D,1963-01-16 18:00:00,47.0
D,1963-01-17 18:00:00,44.3
D,1963-01-18 18:00:00,42.4
D,1963-01-19 18:00:00,40.4
D,1963-01-20 18:00:00,38.3
D,1963-01-21 18:00:00,34.9
D,1963-01-22 18:00:00,30.6
D,1963-01-23 18:00:00,24.3
D,1963-01-24 18:00:00,16.3
D,1963-01-25 18:00:00,8.4
D,1963-01-26 18:00:00,2.8
D,1963-01-27 18:00:00,-0.3
D,1963-01-28 18:00:00,-2.2
D,1963-01-29 18:00:00,-3.4
D,1963-01-30 18:00:00,-4.5
D,1963-01-31 18:00:00,-5.2
D,1963-02-01 18:00:00,-5.4
D,1963-02-02 18:00:00,-4.7
D,1963-02-03 18:00:00,-3.1
D,1963-02-04 18:00:00,-1.3
D,1963-02-05 18:00:00,-0.2
D,1963-02-06 18:00:00,0.1
D,1963-02-07 18:00:00,0.2
D,1963-02-08 18:00:00,0.8
D,1963-02-09 18:00:00,0.6
D,1963-02-10 18:00:00,-0.8
D,1963-02-11 18:00:00,-1.7
D,1963-02-12 18:00:00,-1.8
D,1963-02-13 18:00:00,-0.3
D,1963-02-14 18:00:00,1.0
D,1963-02-15 18:00:00,3.4
D,1963-02-16 18:00:00,5.2
D,1963-02-17 18:00:00,6.6
D,1963-02-18 18:00:00,7.0
D,1963-02-19 18:00:00,6.8
D,1963-02-20 18:00:00,6.5
D,1963-02-21 18:00:00,6.1
D,1963-02-22 18:00:00,6.4
D,1963-02-23 18:00:00,7.2
D,1963-02-24 18:00:00,8.9
D,1963-02-25 18:00:00,10.7
D,1963-02-26 18:00:00,12.4
D,1963-02-27 18:00:00,13.5
D,1963-02-28 18:00:00,13.9
D,1963-03-01 18:00:00,13.7
D,1963-03-02 18:00:00,12.5
D,1963-03-03 18:00:00,11.3
D,1963-03-04 18:00:00,10.6
D,1963-03-05 18:00:00,10.5
D,1963-03-06 18:00:00,11.5
D,1963-03-07 18:00:00,12.7
D,1963-03-08 18:00:00,14.3
D,1963-03-09 18:00:00,15.1
D,1963-03-10 18:00:00,15.9
D,1963-03-11 18:00:00,16.2
D,1963-03-12 18:00:00,16.6
D,1963-03-13 18:00:00,16.8
D,1963-03-14 18:00:00,17.3
D,1963-03-15 18:00:00,18.0
D,1963-03-16 18:00:00,19.2
D,1963-03-17 18:00:00,20.1
D,1963-03-18 18:00:00,20.6
D,1963-03-19 18:00:00,20.4
D,1963-03-20 18:00:00,20.2
D,1963-03-21 18:00:00,20.4
D,1963-03-22 18:00:00,21.2
D,1963-03-23 18:00:00,22.4
D,1963-03-24 18:00:00,23.5
D,1963-03-25 18:00:00,23.8
D,1963-03-26 18:00:00,23.0
D,1963-03-27 18:00:00,22.2
D,1963-03-28 18:00:00,21.5
D,1963-03-29 18:00:00,21.1
D,1963-03-30 18:00:00,19.9
D,1963-03-31 18:00:00,18.9
D,1963-04-01 18:00:00,17.6
D,1963-04-02 18:00:00,17.0
D,1963-04-03 18:00:00,16.2
D,1963-04-04 18:00:00,15.4
D,1963-04-05 18:00:00,14.0
D,1963-04-06 18:00:00,12.0
D,1963-04-07 18:00:00,9.6
D,1963-04-08 18:00:00,7.5
D,1963-04-09 18:00:00,5.5
D,1963-04-10 18:00:00,3.7
D,1963-04-11 18:00:00,1.8
D,1963-04-12 18:00:00,0.1
D,1963-04-13 18:00:00,-0.8
D,1963-04-14 18:00:00,-1.3
D,1963-04-15 18:00:00,-1.2
D,1963-04-16 18:00:00,-1.5
D,1963-04-17 18:00:00,-2.0
D,1963-04-18 18:00:00,-2.5
D,1963-04-19 18:00:00,-2.7
D,1963-04-20 18:00:00,-2.4
D,1963-04-21 18:00:00,-2.0
D,1963-04-22 18:00:00,-1.1
D,1963-04-23 18:00:00,-0.1
D,1963-04-24 18:00:00,1.3
D,1963-04-25 18:00:00,2.1
D,1963-04-26 18:00:00,2.3
D,1963-04-27 18:00:00,2.1
D,1963-04-28 18:00:00,1.9
D,1963-04-29 18:00:00,1.5
D,1963-04-30 18:00:00,1.4
D,1963-05-01 18:00:00,1.3
D,1963-05-02 18:00:00,0.9
D,1963-05-03 18:00:00,0.1
D,1963-05-04 18:00:00,-0.7
D,1963-05-05 18:00:00,-1.1
D,1963-05-06 18:00:00,-1.5
D,1963-05-07 18:00:00,-1.6
D,1963-05-08 18:00:00,-1.7
D,1963-05-09 18:00:00,-1.7
D,1963-05-10 18:00:00,-1.7
D,1963-05-11 18:00:00,-2.0
D,1963-05-12 18:00:00,-2.6
D,1963-05-13 18:00:00,-3.2
D,1963-05-14 18:00:00,-3.6
D,1963-05-15 18:00:00,-3.7
D,1963-05-16 18:00:00,-4.1
D,1963-05-17 18:00:00,-4.7
D,1963-05-18 18:00:00,-5.4
D,1963-05-19 18:00:00,-6.1
D,1963-05-20 18:00:00,-6.9
D,1963-05-21 18:00:00,-7.3
D,1963-05-22 18:00:00,-7.6
D,1963-05-23 18:00:00,-7.7
D,1963-05-24 18:00:00,-7.9
D,1963-05-25 18:00:00,-8.2
D,1963-05-26 18:00:00,-8.2
D,1963-05-27 18:00:00,-8.6
D,1963-05-28 18:00:00,-9.0
D,1963-05-29 18:00:00,-9.7
D,1963-05-30 18:00:00,-10.2
D,1963-05-31 18:00:00,-10.0
D,1963-06-01 18:00:00,-9.9
D,1963-06-02 18:00:00,-9.7
D,1963-06-03 18:00:00,-9.9
D,1963-06-04 18:00:00,-9.6
D,1963-06-05 18:00:00,-9.5
D,1963-06-06 18:00:00,-9.5
D,1963-06-07 18:00:00,-10.0
D,1963-06-08 18:00:00,-10.6
D,1963-06-09 18:00:00,-11.4
D,1963-06-10 18:00:00,-11.7
D,1963-06-11 18:00:00,-11.7
D,1963-06-12 18:00:00,-11.4
D,1963-06-13 18:00:00,-11.3
D,1963-06-14 18:00:00,-11.4
D,1963-06-15 18:00:00,-11.5
D,1963-06-16 18:00:00,-11.7
D,1963-06-17 18:00:00,-11.7
