, counter, time, year, month, day, hour, edge, area, obj_area, latcent, loncent, theta, ar, kurtosis, amp0, amp1, amp2, lon1, lon2
 counter,1.0,0.9999999999998601,0.9998611014019241,0.016510876838889688,0.001396050241352244,-0.007429699723668634,0.10678593204671818,0.0002157907070548028,0.007926254594007582,0.0024358651346361028,-0.006907784669556388,0.042536315089255615,1.3851469157387356e-05,-0.02615379418128889,0.06511597522642538,0.0008426064148675396,-0.003059654557624194,0.07665580432780723,-0.0068266959181673605
 time,0.9999999999998601,1.0,0.999861101306338,0.016510882680426088,0.0013960493160461661,-0.0074291658429117904,0.1067859333142591,0.0002157922701326141,0.007926253477614975,0.0024358719917388547,-0.006907782538465597,0.042536316966938235,1.3844804126804814e-05,-0.026153794872912917,0.06511597616965166,0.0008426042084680115,-0.003059652292012075,0.07665580877596144,-0.006826700131912282
 year,0.9998611014019241,0.999861101306338,1.0,-9.754710942364838e-05,-0.00016470843860347885,-0.00760747152903957,0.10633219729685035,0.00045893489886175947,0.008376458074775963,-0.0021961575444083307,-0.0077601669960775665,0.0425067034722895,0.0034743338574144784,-0.025497890249422256,0.06556391120791796,0.003064609202617871,-0.001130369913180771,0.07587238200006549,-0.003868856280748184
 month,0.016510876838889688,0.016510882680426088,-9.754710942364838e-05,1.0,0.010397877888952677,0.0108182794092408,0.030757093695032756,-0.013541505715827282,-0.026854879902659175,0.279217731264507,0.051540701278408055,0.0029419256590724426,-0.21011466223711625,-0.04097052777973776,-0.023787224672640016,-0.1357281238153138,-0.1182175828517642,0.04958212740344371,-0.17673567697736733
 day,0.001396050241352244,0.0013960493160461661,-0.00016470843860347885,0.010397877888952677,1.0,-0.0017434533345942593,0.005749518366358528,0.015890870934369604,0.007248667836518578,0.007271299867808663,0.012931377807045109,-0.00893486141680108,-0.0022648460143317537,0.006478723797716879,0.005492164632347664,-0.005347966757812088,-0.005269165674215515,-0.016288864617518713,0.009938621279735313
 hour,-0.007429699723668634,-0.0074291658429117904,-0.00760747152903957,0.0108182794092408,-0.0017434533345942593,1.0,0.0015808219576204706,0.0029258290683239338,-0.0021499724324461505,0.012825003407078855,0.004042861202882694,0.0032009374510117315,-0.012483513140078157,-0.0011010497219014735,0.001282943431648127,-0.004138726336899635,0.004266246025626791,0.007761875422760819,-0.00784152643506994
 edge,0.10678593204671818,0.1067859333142591,0.10633219729685035,0.030757093695032756,0.005749518366358528,0.0015808219576204706,1.0,0.7943493283064933,0.3901125882008651,0.37732135212361173,0.38345259812364796,0.08115035109764514,-0.4995787175329911,-0.14529609001203972,0.9715127591136075,-0.7583502464355504,-0.770072976667403,0.14412957748767544,0.5732400206091096
 area,0.0002157907070548028,0.0002157922701326141,0.00045893489886175947,-0.013541505715827282,0.015890870934369604,0.0029258290683239338,0.7943493283064933,1.0,0.7172867433697558,0.4688235315151149,0.3322198716401729,0.018173814907520146,-0.5175324318349336,-0.3154090508295521,0.7347307442146108,-0.6033171697911394,-0.589692863847273,0.11387517651660707,0.5067749222621889
 obj_area,0.007926254594007582,0.007926253477614975,0.008376458074775963,-0.026854879902659175,0.007248667836518578,-0.0021499724324461505,0.3901125882008651,0.7172867433697558,1.0,0.3453566970802099,0.15091544765545045,-0.04136604342151169,-0.2546032624506494,-0.2615376426535923,0.2752964791759978,-0.1951661586718438,-0.18515208420845,0.07811444928524162,0.23244881550443558
 latcent,0.0024358651346361028,0.0024358719917388547,-0.0021961575444083307,0.279217731264507,0.007271299867808663,0.012825003407078855,0.37732135212361173,0.4688235315151149,0.3453566970802099,1.0,0.19764689864145676,0.04610581091953327,-0.41939673110770703,-0.37302125852206014,0.2559579283707885,-0.2882014358839436,-0.2135308829887903,0.22196877544426466,0.029113800149717903
