,D_d,string,ar,latcent,kurtosis,area,form,D_msw,u,scaled_area,scaled_ar,scaled_latcent,scaled_u,ssa_scaled_u,eeof_scaled_u,y
0,D,1963-01-01 18:00:00,1.3914,85.598,0.15132,30826000.0,0,D,59.7,0.1991622057353131,-0.3981658514277978,1.2650747654478598,2.0992934374151604,0.7532584946353678,0.5394739164321518,0
1,D,1963-01-02 18:00:00,1.3999,86.313,0.14872,31032000.0,0,D,59.6,0.21396053697309253,-0.3788956159183953,1.4006977461542753,2.093149026576207,0.7855209376919121,0.5694684141437414,0
2,D,1963-01-03 18:00:00,1.3292,85.479,0.15526,30179000.0,0,D,58.8,0.15268395179918054,-0.5391786336260144,1.2425025490785404,2.043993739864578,0.7797423110771204,0.5608135769653371,0
3,D,1963-01-04 18:00:00,1.2402,84.191,0.14776,30249000.0,0,D,58.5,0.1577125109576493,-0.7409493348421118,0.9981915013164957,2.0255605073477176,0.8094399862554968,0.5874590784181708,0
4,D,1963-01-05 18:00:00,1.1061,83.286,0.15299,31219000.0,0,D,58.3,0.22739397358214475,-1.0449656385845685,0.8265288474153688,2.0132716856698103,0.8501657989937452,0.6257328438960301,0
5,D,1963-01-06 18:00:00,1.065,82.896,0.1508,31167000.0,0,D,59.3,0.22365847249299656,-1.1381428949888566,0.7525526761209606,2.0747157940593457,0.9694526934863794,0.7432557248315892,0
6,D,1963-01-07 18:00:00,1.1499,83.276,0.14708,31138000.0,0,D,60.9,0.22157521227020235,-0.9456672485478826,0.824632022510383,2.1730263674826027,1.1305938594430842,0.9030624294186238,0
7,D,1963-01-08 18:00:00,1.1675,84.575,0.14608,31040000.0,0,D,62.6,0.2145352294483461,-0.9057665256107666,1.071029577667913,2.2774813517448136,1.3029847140918507,1.0738931542088241,0
8,D,1963-01-09 18:00:00,1.1181,85.93,0.15411,30799000.0,0,D,63.5,0.19722261863133228,-1.017760600218353,1.3280493522933574,2.3327810492953955,1.4313023670532292,1.199702421990462,0
9,D,1963-01-10 18:00:00,1.2294,86.627,0.16217,29903000.0,0,D,63.4,0.13285706140293232,-0.7654338693717054,1.4602580481707976,2.326636638456442,1.5029665035595414,1.2675976742465191,0
10,D,1963-01-11 18:00:00,1.26,86.468,0.16767,30872000.0,0,D,63.1,0.20246668746802113,-0.6960610215378562,1.4300985321815403,2.3082034059395813,1.5666137455416906,1.3264704551740465,0
11,D,1963-01-12 18:00:00,1.3223,85.562,0.15863,31465000.0,0,D,60.6,0.24506576719619208,-0.5548215306865879,1.2582461957899143,2.1545931349657423,1.4988423448709738,1.2544183258442534,0
12,D,1963-01-13 18:00:00,1.4297,84.497,0.13916,32215000.0,0,D,56.9,0.29894318675121434,-0.3113364373089603,1.0562343434090309,1.9272499339244604,1.360273315501351,1.1114658101119406,0
13,D,1963-01-14 18:00:00,1.6297,83.645,0.11842,31561000.0,0,D,52.3,0.25196207689923494,0.14208086879462942,0.894624861504323,1.6446070353325966,1.168479977252567,0.9154247409177201,0
14,D,1963-01-15 18:00:00,1.7777,83.121,0.10889,31095000.0,0,D,49.4,0.21848624021571442,0.47760967531128623,0.795231236483118,1.4664191210029434,1.0823872354660067,0.8247942097300086,0
15,D,1963-01-16 18:00:00,1.8963,81.901,0.13469,31586000.0,0,D,47.0,0.2537579908844023,0.746486137830715,0.5638185980749697,1.318953260868058,1.0277984203449686,0.7668693815572418,0
16,D,1963-01-17 18:00:00,1.9202,79.854,0.2158,31643000.0,0,D,44.3,0.25785267477058404,0.8006695059100937,0.17553854002457667,1.1530541682163118,0.9552025053997577,0.6922637314061002,0
17,D,1963-01-18 18:00:00,2.0598,78.762,0.18405,29106000.0,0,D,42.4,0.07560332355579533,1.1171547855703998,-0.031594739599765914,1.0363103622761942,0.9318021251934083,0.6677379159530434,0
18,D,1963-01-19 18:00:00,2.054,81.103,0.16351,26046000.0,0,D,40.4,-0.1442165482286956,1.1040056836933951,0.41245197065718037,0.9134221454971229,0.9019993542184935,0.6379356180878343,0
19,D,1963-01-20 18:00:00,2.1477,82.681,0.20654,25255000.0,0,D,38.3,-0.2010392667193924,1.3164316916029273,0.7117709406637862,0.784389517879098,0.8654710649808843,0.6021801277806195,0
20,D,1963-01-21 18:00:00,2.4889,83.685,0.24311,24893000.0,0,D,34.9,-0.2270441012246165,2.089961615815652,0.9022121611242635,0.575479549354677,0.7481469386586126,0.48649641609105265,0
21,D,1963-01-22 18:00:00,3.05,86.194,0.064368,25533000.0,1,D,30.6,-0.18106870320433083,3.3620238680892727,1.378125529784956,0.3112698832796741,0.5741521468155175,0.3139454833333324,1
22,D,1963-01-23 18:00:00,3.3467,85.684,0.0724,26654000.0,1,D,24.3,-0.10053992010942418,4.034668441693948,1.281387459630729,-0.07582799957440031,0.27540114292077056,0.015649384197168742,1
23,D,1963-01-24 18:00:00,3.2747,79.262,0.83364,26927000.0,1,D,16.3,-0.08092853939139608,3.8714382114966566,0.06324650564947532,-0.5673808666906852,-0.13027962855325131,-0.39220039732406636,1
24,D,1963-01-25 18:00:00,2.8524,74.697,1.7679,18613000.0,1,D,8.4,-0.6781776942986697,2.914047569658926,-0.8026540634760966,-1.0527893229680167,-0.532955893440749,-0.8005627565986515,1
25,D,1963-01-26 18:00:00,2.5601,75.608,1.7163,14120000.0,1,D,2.8,-1.0009393557129564,2.251378176788529,-0.6298533146319788,-1.396876329949416,-0.7980163907683081,-1.0745066733157151,1
26,D,1963-01-27 18:00:00,2.934,78.452,4.9743,15690000.0,1,D,-0.3,-0.8881559574444432,3.0990418305491914,-0.0903963116542959,-1.5873530659569763,-0.9134908483445199,-1.200299182989165,1
27,D,1963-01-28 18:00:00,2.1276,83.693,3.8385,17136000.0,0,D,-2.2,-0.7842802925423603,1.270863252339517,0.9037296210482505,-1.704096871897094,-0.9593537559093465,-1.2559298611508507,0
28,D,1963-01-29 18:00:00,1.4271,78.027,0.40672,52308000.0,0,D,-3.4,1.7423551749099646,-0.3172308622883069,-0.1710113701161504,-1.7778298019645367,-0.9663303560504474,-1.271199343596191,0
29,D,1963-01-30 18:00:00,1.1212,77.657,0.24435,80890000.0,0,D,-4.5,3.7955877158721605,-1.0107326319737477,-0.24119389160058977,-1.845418321193026,-0.971246268233847,-1.2822704940901541,0
30,D,1963-01-31 18:00:00,1.216,82.009,0.080338,97504000.0,0,D,-5.2,4.9890803138550135,-0.7958128288806461,0.5843043070488065,-1.8884291970657008,-0.9556259986108004,-1.2705232612711286,0
31,D,1963-02-01 18:00:00,1.2191,87.413,-0.012279,116200000.0,0,D,-5.4,6.332136628522608,-0.7887848606360403,1.609348485702605,-1.900718018743608,-0.9132634644101766,-1.2294318101934683,0
32,D,1963-02-02 18:00:00,1.2201,88.065,0.0081575,120370000.0,0,D,-4.7,6.631695081248533,-0.7865177741055225,1.7330214695076158,-1.857707142870933,-0.8194917935290889,-1.1339607120561017,0
33,D,1963-02-03 18:00:00,1.2933,83.261,0.16907,103640000.0,0,D,-3.1,5.429869442374502,-0.6205670400716088,0.8217867851529057,-1.759396569447676,-0.6741801874849878,-0.98352765172701,0
34,D,1963-02-04 18:00:00,1.2277,84.726,0.094573,115490000.0,0,D,-1.3,6.281132671343855,-0.769287916473586,1.099671633733183,-1.648797174346512,-0.5201785110919022,-0.8206489479264625,0
35,D,1963-02-05 18:00:00,1.1733,84.739,0.2847,115350000.0,0,D,-0.2,6.271075553026916,-0.8926174237337624,1.1021375061096643,-1.5812086551180227,-0.412643892239668,-0.7008021005488445,0
36,D,1963-02-06 18:00:00,2.0588,82.343,1.4187,58478000.0,0,D,0.1,2.1855867464492813,1.1148876990398822,0.6476582588753003,-1.562775422601162,-0.35764410230623467,-0.631160023368502,0
37,D,1963-02-07 18:00:00,2.035,78.632,3.8751,36112000.0,0,D,0.2,0.5788902587591102,1.0609310396135547,-0.05625346336456777,-1.5566310117622086,-0.3182917341648528,-0.5758138124546419,0
38,D,1963-02-08 18:00:00,1.7896,77.373,3.2751,40005000.0,0,D,0.8,0.8585499845293791,0.5045880050244499,-0.2950637189021572,-1.5197645467284873,-0.25156543333534453,-0.49215610131832044,0
39,D,1963-02-09 18:00:00,1.4918,72.351,3.708,36629000.0,0,D,0.6,0.6160297599723722,-0.1705503637637956,-1.2476491861855372,-1.5320533684063942,-0.23730457248567238,-0.45990164763512187,2
40,D,1963-02-10 18:00:00,1.4213,67.07,4.2369,33518000.0,0,D,-0.8,0.39254622365813974,-0.330379964165311,-2.249362418508024,-1.6180751201517443,-0.3000899112672386,-0.5042896087020778,2
